Actual,Default_Probability_Pct,Risk_Level,Loan_Amount_USD,Expected_Loss_USD
1,33.3,Medium Risk,206500,68722.56630659103
1,100.0,High Risk,316500,316409.3165695667
0,20.7,Low Risk,266500,55037.22421079874
0,18.1,Low Risk,316500,57169.37564313412
0,20.4,Low Risk,286500,58341.32281690836
1,91.6,High Risk,226500,207402.36854553223
1,78.2,High Risk,166500,130203.8543522358
1,60.1,Medium Risk,26500,15918.223589658737
0,28.2,Low Risk,156500,44161.316350102425
1,100.0,High Risk,376500,376392.9332792759
0,18.7,Low Risk,346500,64885.146617889404
0,37.4,Medium Risk,96500,36054.52302098274
0,50.6,Medium Risk,166500,84308.3436191082
0,32.5,Medium Risk,166500,54184.542551636696
0,29.4,Low Risk,436500,128478.97401452065
0,18.7,Low Risk,266500,49805.32090365887
0,27.3,Low Risk,136500,37298.25259745121
0,17.8,Low Risk,276500,49097.66422212124
0,48.6,Medium Risk,266500,129390.73987305164
1,100.0,High Risk,636500,636217.6248133183
0,14.9,Low Risk,426500,63533.464930951595
1,100.0,High Risk,76500,76477.57968306541
0,24.8,Low Risk,226500,56258.36822390556
0,28.7,Low Risk,66500,19095.837384462357
1,36.1,Medium Risk,306500,110558.35336446762
0,21.0,Low Risk,426500,89478.08785736561
0,23.4,Low Risk,286500,67049.63580518961
1,100.0,High Risk,616500,616346.3638722897
0,37.9,Medium Risk,106500,40335.649475455284
0,18.9,Low Risk,766500,144688.0102828145
0,15.0,Low Risk,156500,23476.633355021477
0,16.7,Low Risk,336500,56057.50163644552
0,11.6,Low Risk,396500,45858.88743400574
0,12.3,Low Risk,586500,71963.71506527066
0,14.1,Low Risk,676500,95104.0121242404
0,11.6,Low Risk,246500,28472.609370946884
0,18.9,Low Risk,256500,48575.13041049242
0,26.9,Low Risk,186500,50152.53032743931
0,35.0,Medium Risk,216500,75704.91488277912
0,15.9,Low Risk,276500,44065.888822078705
0,20.3,Low Risk,236500,48097.98938781023
1,100.0,High Risk,176500,176462.22189068794
0,50.7,Medium Risk,156500,79341.24159812927
1,100.0,High Risk,346500,346411.6257727146
0,42.9,Medium Risk,306500,131396.5774178505
1,16.3,Low Risk,306500,50068.711794912815
1,29.9,Low Risk,266500,79736.00533604622
0,52.1,Medium Risk,716500,373170.2360212803
1,72.1,High Risk,356500,257129.19399142265
1,39.9,Medium Risk,156500,62455.84872364998
0,61.5,Medium Risk,176500,108633.46239924431
1,39.6,Medium Risk,416500,165138.7088149786
0,25.4,Low Risk,466500,118291.41542315483
1,31.3,Medium Risk,366500,114689.26654756069
0,51.4,Medium Risk,466500,239962.68090605736
0,64.7,Medium Risk,46500,30106.795012950897
0,43.0,Medium Risk,376500,161996.52644991875
0,52.3,Medium Risk,236500,123736.0188961029
1,69.8,High Risk,66500,46387.55452632904
1,88.2,High Risk,336500,296866.5185570717
0,16.2,Low Risk,626500,101491.64664000273
1,100.0,High Risk,26500,26495.82690000534
1,100.0,High Risk,246500,246447.15091586113
0,20.8,Low Risk,566500,117581.41627162695
0,36.9,Medium Risk,296500,109457.77693390846
0,21.0,Low Risk,306500,64516.3551941514
0,53.2,Medium Risk,206500,109833.77823233604
0,17.2,Low Risk,256500,44167.096987366676
1,46.8,Medium Risk,186500,87193.25231015682
1,22.7,Low Risk,576500,131097.6405069232
0,16.4,Low Risk,596500,97549.4623631239
1,89.2,High Risk,156500,139525.55149793625
0,27.4,Low Risk,606500,166401.8711745739
0,23.7,Low Risk,416500,98536.05381399393
0,22.3,Low Risk,726500,161953.92443984747
0,68.7,High Risk,476500,327204.3354809284
0,35.8,Medium Risk,296500,106203.80334556103
0,31.6,Medium Risk,226500,71469.8608070612
0,8.3,Low Risk,426500,35319.02091577649
0,46.0,Medium Risk,76500,35187.531530857086
0,50.1,Medium Risk,46500,23274.503856897354
0,16.4,Low Risk,286500,47098.97240996361
1,16.6,Low Risk,206500,34355.433605611324
0,20.7,Low Risk,596500,123483.40326547623
0,24.8,Low Risk,166500,41287.5706627965
0,14.3,Low Risk,386500,55226.826176047325
1,100.0,High Risk,306500,306487.1752858162
0,32.3,Medium Risk,126500,40874.1594851017
0,30.4,Medium Risk,226500,68825.23700594902
0,45.4,Medium Risk,106500,48347.12103009224
0,32.5,Medium Risk,206500,67143.68692040443
0,16.2,Low Risk,436500,70640.80184698105
0,32.3,Medium Risk,186500,60312.94219195843
0,18.0,Low Risk,276500,49668.9877435565
1,100.0,High Risk,196500,196440.07980823517
1,100.0,High Risk,376500,376398.947507143
0,13.3,Low Risk,566500,75200.54771006107
0,34.5,Medium Risk,336500,116087.10427582264
0,19.7,Low Risk,266500,52430.420123040676
0,23.0,Low Risk,486500,111851.28080844879
0,41.4,Medium Risk,206500,85519.80249583721
1,61.6,Medium Risk,406500,250603.52683067322
0,30.3,Medium Risk,276500,83895.7968056202
